Year,rank,Realized CEO compensation,Granted CEO compensation,Decades,rank1,Avg. Realized CEO compensation,Avg. Granted CEO compensation
1984,33,47.8,35,2000,305,261.94,253.4
1985,33,50.5,37,2010,305,297.81,208.3
1986,33,53.2,39,1960,306,23.28,17
1987,33,55.9,41,1970,306,27,19.8
1988,33,58.7,43,1980,306,49.13,36
1989,33,61.4,45,1990,306,153.05,154.1
1990,33,77.3,56.6,2000,306,261.94,253.4
1991,33,93.1,68.2,2010,306,297.81,208.3
1992,33,109,79.8,1960,307,23.28,17
1993,33,108.6,99.6,1970,307,27,19.8
1994,33,87.4,116.6,1980,307,49.13,36
1995,33,117.6,131,1990,307,153.05,154.1
1996,33,150.6,177,2000,307,261.94,253.4
1997,33,223.4,234.1,2010,307,297.81,208.3
1998,33,297.4,293.4,1960,308,23.28,17
1999,33,266.1,284.4,1970,308,27,19.8
2000,33,365.7,386.1,1980,308,49.13,36
2001,33,210.6,322.6,1990,308,153.05,154.1
2002,33,186.8,235,2000,308,261.94,253.4
2003,33,228.8,227,2010,308,297.81,208.3
2004,33,265.7,235,1960,309,23.28,17
2005,33,318.4,244.5,1970,309,27,19.8
2006,33,328.2,244.1,1980,309,49.13,36
2007,33,330.9,242,1990,309,153.05,154.1
2008,33,206.7,219.4,2000,309,261.94,253.4
2009,33,177.6,178.3,2010,309,297.81,208.3
2010,33,213.1,202.8,1960,310,23.28,17
2011,33,242.4,208.1,1970,310,27,19.8
2012,33,371.7,201.3,1980,310,49.13,36
2013,33,318.5,209.7,1990,310,153.05,154.1
2014,33,326.6,217.2,2000,310,261.94,253.4
2015,33,318.8,209.5,2010,310,297.81,208.3
2016,33,271.6,205.8,1960,311,23.28,17
2017,33,302.1,193.2,1970,311,27,19.8
2018,33,293.3,212.3,1980,311,49.13,36
2019,33,320,222.8,1990,311,153.05,154.1
1965,34,21.1,15.4,2000,311,261.94,253.4
1966,34,22.3,16.3,2010,311,297.81,208.3
1967,34,23.6,17.3,1960,312,23.28,17
1968,34,24.8,18.2,1970,312,27,19.8
1969,34,24.6,18,1980,312,49.13,36
1970,34,24.3,17.8,1990,312,153.05,154.1
1971,34,24,17.6,2000,312,261.94,253.4
1972,34,23.7,17.4,2010,312,297.81,208.3
1973,34,23.4,17.2,1960,313,23.28,17
1974,34,25,18.3,1970,313,27,19.8
1975,34,26.6,19.5,1980,313,49.13,36
1976,34,28.2,20.7,1990,313,153.05,154.1
1977,34,29.8,21.8,2000,313,261.94,253.4
1978,34,31.4,23,2010,313,297.81,208.3
1979,34,34.1,25,1960,314,23.28,17
1980,34,36.9,27,1970,314,27,19.8
1981,34,39.6,29,1980,314,49.13,36
1982,34,42.3,31,1990,314,153.05,154.1
1983,34,45,33,2000,314,261.94,253.4
1984,34,47.8,35,2010,314,297.81,208.3
1985,34,50.5,37,1960,315,23.28,17
1986,34,53.2,39,1970,315,27,19.8
1987,34,55.9,41,1980,315,49.13,36
1988,34,58.7,43,1990,315,153.05,154.1
1989,34,61.4,45,2000,315,261.94,253.4
1990,34,77.3,56.6,2010,315,297.81,208.3
1991,34,93.1,68.2,1960,316,23.28,17
1992,34,109,79.8,1970,316,27,19.8
1993,34,108.6,99.6,1980,316,49.13,36
1994,34,87.4,116.6,1990,316,153.05,154.1
1995,34,117.6,131,2000,316,261.94,253.4
1996,34,150.6,177,2010,316,297.81,208.3
1997,34,223.4,234.1,1960,317,23.28,17
1998,34,297.4,293.4,1970,317,27,19.8
1999,34,266.1,284.4,1980,317,49.13,36
2000,34,365.7,386.1,1990,317,153.05,154.1
2001,34,210.6,322.6,2000,317,261.94,253.4
2002,34,186.8,235,2010,317,297.81,208.3
2003,34,228.8,227,1960,318,23.28,17
2004,34,265.7,235,1970,318,27,19.8
2005,34,318.4,244.5,1980,318,49.13,36
2006,34,328.2,244.1,1990,318,153.05,154.1
2007,34,330.9,242,2000,318,261.94,253.4
2008,34,206.7,219.4,2010,318,297.81,208.3
2009,34,177.6,178.3,1960,319,23.28,17
2010,34,213.1,202.8,1970,319,27,19.8
2011,34,242.4,208.1,1980,319,49.13,36
2012,34,371.7,201.3,1990,319,153.05,154.1
2013,34,318.5,209.7,2000,319,261.94,253.4
2014,34,326.6,217.2,2010,319,297.81,208.3
2015,34,318.8,209.5,1960,320,23.28,17
2016,34,271.6,205.8,1970,320,27,19.8
2017,34,302.1,193.2,1980,320,49.13,36
2018,34,293.3,212.3,1990,320,153.05,154.1
2019,34,320,222.8,2000,320,261.94,253.4
1965,35,21.1,15.4,2010,320,297.81,208.3
1966,35,22.3,16.3,1960,321,23.28,17
1967,35,23.6,17.3,1970,321,27,19.8
1968,35,24.8,18.2,1980,321,49.13,36
1969,35,24.6,18,1990,321,153.05,154.1
1970,35,24.3,17.8,2000,321,261.94,253.4
1971,35,24,17.6,2010,321,297.81,208.3
1972,35,23.7,17.4,1960,322,23.28,17
1973,35,23.4,17.2,1970,322,27,19.8
1974,35,25,18.3,1980,322,49.13,36
1975,35,26.6,19.5,1990,322,153.05,154.1
1976,35,28.2,20.7,2000,322,261.94,253.4
1977,35,29.8,21.8,2010,322,297.81,208.3
1978,35,31.4,23,1960,323,23.28,17
1979,35,34.1,25,1970,323,27,19.8
1980,35,36.9,27,1980,323,49.13,36
1981,35,39.6,29,1990,323,153.05,154.1
1982,35,42.3,31,2000,323,261.94,253.4
1983,35,45,33,2010,323,297.81,208.3
1984,35,47.8,35,1960,324,23.28,17
1985,35,50.5,37,1970,324,27,19.8
1986,35,53.2,39,1980,324,49.13,36
1987,35,55.9,41,1990,324,153.05,154.1
1988,35,58.7,43,2000,324,261.94,253.4
1989,35,61.4,45,2010,324,297.81,208.3
1990,35,77.3,56.6,1960,325,23.28,17
1991,35,93.1,68.2,1970,325,27,19.8
1992,35,109,79.8,1980,325,49.13,36
1993,35,108.6,99.6,1990,325,153.05,154.1
1994,35,87.4,116.6,2000,325,261.94,253.4
1995,35,117.6,131,2010,325,297.81,208.3
1996,35,150.6,177,1960,326,23.28,17
1997,35,223.4,234.1,1970,326,27,19.8
1998,35,297.4,293.4,1980,326,49.13,36
1999,35,266.1,284.4,1990,326,153.05,154.1
2000,35,365.7,386.1,2000,326,261.94,253.4
2001,35,210.6,322.6,2010,326,297.81,208.3
2002,35,186.8,235,1960,327,23.28,17
2003,35,228.8,227,1970,327,27,19.8
2004,35,265.7,235,1980,327,49.13,36
2005,35,318.4,244.5,1990,327,153.05,154.1
2006,35,328.2,244.1,2000,327,261.94,253.4
2007,35,330.9,242,2010,327,297.81,208.3
2008,35,206.7,219.4,1960,328,23.28,17
2009,35,177.6,178.3,1970,328,27,19.8
2010,35,213.1,202.8,1980,328,49.13,36
2011,35,242.4,208.1,1990,328,153.05,154.1
2012,35,371.7,201.3,2000,328,261.94,253.4
2013,35,318.5,209.7,2010,328,297.81,208.3
2014,35,326.6,217.2,1960,329,23.28,17
2015,35,318.8,209.5,1970,329,27,19.8
2016,35,271.6,205.8,1980,329,49.13,36
2017,35,302.1,193.2,1990,329,153.05,154.1
2018,35,293.3,212.3,2000,329,261.94,253.4
2019,35,320,222.8,2010,329,297.81,208.3
1965,36,21.1,15.4,1960,330,23.28,17
1966,36,22.3,16.3,1970,330,27,19.8
1967,36,23.6,17.3,1980,330,49.13,36
1968,36,24.8,18.2,1990,330,153.05,154.1
1969,36,24.6,18,2000,330,261.94,253.4
1970,36,24.3,17.8,2010,330,297.81,208.3
1971,36,24,17.6,1960,331,23.28,17
1972,36,23.7,17.4,1970,331,27,19.8
1973,36,23.4,17.2,1980,331,49.13,36
1974,36,25,18.3,1990,331,153.05,154.1
1975,36,26.6,19.5,2000,331,261.94,253.4
1976,36,28.2,20.7,2010,331,297.81,208.3
1977,36,29.8,21.8,1960,332,23.28,17
1978,36,31.4,23,1970,332,27,19.8
1979,36,34.1,25,1980,332,49.13,36
1980,36,36.9,27,1990,332,153.05,154.1
1981,36,39.6,29,2000,332,261.94,253.4
1982,36,42.3,31,2010,332,297.81,208.3
1983,36,45,33,1960,333,23.28,17
1984,36,47.8,35,1970,333,27,19.8
1985,36,50.5,37,1980,333,49.13,36
1986,36,53.2,39,1990,333,153.05,154.1
1987,36,55.9,41,2000,333,261.94,253.4
1988,36,58.7,43,2010,333,297.81,208.3
1989,36,61.4,45,1960,334,23.28,17
1990,36,77.3,56.6,1970,334,27,19.8
1991,36,93.1,68.2,1980,334,49.13,36
1992,36,109,79.8,1990,334,153.05,154.1
1993,36,108.6,99.6,2000,334,261.94,253.4
1994,36,87.4,116.6,2010,334,297.81,208.3
1995,36,117.6,131,1960,335,23.28,17
1996,36,150.6,177,1970,335,27,19.8
1997,36,223.4,234.1,1980,335,49.13,36
1998,36,297.4,293.4,1990,335,153.05,154.1
1999,36,266.1,284.4,2000,335,261.94,253.4
2000,36,365.7,386.1,2010,335,297.81,208.3
2001,36,210.6,322.6,1960,336,23.28,17
2002,36,186.8,235,1970,336,27,19.8
2003,36,228.8,227,1980,336,49.13,36
2004,36,265.7,235,1990,336,153.05,154.1
2005,36,318.4,244.5,2000,336,261.94,253.4
2006,36,328.2,244.1,2010,336,297.81,208.3
2007,36,330.9,242,1960,337,23.28,17
2008,36,206.7,219.4,1970,337,27,19.8
2009,36,177.6,178.3,1980,337,49.13,36
2010,36,213.1,202.8,1990,337,153.05,154.1
2011,36,242.4,208.1,2000,337,261.94,253.4
2012,36,371.7,201.3,2010,337,297.81,208.3
2013,36,318.5,209.7,1960,338,23.28,17
2014,36,326.6,217.2,1970,338,27,19.8
2015,36,318.8,209.5,1980,338,49.13,36
2016,36,271.6,205.8,1990,338,153.05,154.1
2017,36,302.1,193.2,2000,338,261.94,253.4
2018,36,293.3,212.3,2010,338,297.81,208.3
2019,36,320,222.8,1960,339,23.28,17
1965,37,21.1,15.4,1970,339,27,19.8
1966,37,22.3,16.3,1980,339,49.13,36
1967,37,23.6,17.3,1990,339,153.05,154.1
1968,37,24.8,18.2,2000,339,261.94,253.4
1969,37,24.6,18,2010,339,297.81,208.3
1970,37,24.3,17.8,1960,340,23.28,17
1971,37,24,17.6,1970,340,27,19.8
1972,37,23.7,17.4,1980,340,49.13,36
1973,37,23.4,17.2,1990,340,153.05,154.1
1974,37,25,18.3,2000,340,261.94,253.4
1975,37,26.6,19.5,2010,340,297.81,208.3
1976,37,28.2,20.7,1960,341,23.28,17
1977,37,29.8,21.8,1970,341,27,19.8
1978,37,31.4,23,1980,341,49.13,36
1979,37,34.1,25,1990,341,153.05,154.1
1980,37,36.9,27,2000,341,261.94,253.4
1981,37,39.6,29,2010,341,297.81,208.3
1982,37,42.3,31,1960,342,23.28,17
1983,37,45,33,1970,342,27,19.8
1984,37,47.8,35,1980,342,49.13,36
1985,37,50.5,37,1990,342,153.05,154.1
1986,37,53.2,39,2000,342,261.94,253.4
1987,37,55.9,41,2010,342,297.81,208.3
1988,37,58.7,43,1960,343,23.28,17
1989,37,61.4,45,1970,343,27,19.8
1990,37,77.3,56.6,1980,343,49.13,36
1991,37,93.1,68.2,1990,343,153.05,154.1
1992,37,109,79.8,2000,343,261.94,253.4
1993,37,108.6,99.6,2010,343,297.81,208.3
1994,37,87.4,116.6,1960,344,23.28,17
1995,37,117.6,131,1970,344,27,19.8
1996,37,150.6,177,1980,344,49.13,36
1997,37,223.4,234.1,1990,344,153.05,154.1
1998,37,297.4,293.4,2000,344,261.94,253.4
1999,37,266.1,284.4,2010,344,297.81,208.3
2000,37,365.7,386.1,1960,345,23.28,17
2001,37,210.6,322.6,1970,345,27,19.8
2002,37,186.8,235,1980,345,49.13,36
2003,37,228.8,227,1990,345,153.05,154.1
2004,37,265.7,235,2000,345,261.94,253.4
2005,37,318.4,244.5,2010,345,297.81,208.3
2006,37,328.2,244.1,1960,346,23.28,17
2007,37,330.9,242,1970,346,27,19.8
2008,37,206.7,219.4,1980,346,49.13,36
2009,37,177.6,178.3,1990,346,153.05,154.1
2010,37,213.1,202.8,2000,346,261.94,253.4
2011,37,242.4,208.1,2010,346,297.81,208.3
2012,37,371.7,201.3,1960,347,23.28,17
2013,37,318.5,209.7,1970,347,27,19.8
2014,37,326.6,217.2,1980,347,49.13,36
2015,37,318.8,209.5,1990,347,153.05,154.1
2016,37,271.6,205.8,2000,347,261.94,253.4
2017,37,302.1,193.2,2010,347,297.81,208.3
2018,37,293.3,212.3,1960,348,23.28,17
2019,37,320,222.8,1970,348,27,19.8
1965,38,21.1,15.4,1980,348,49.13,36
1966,38,22.3,16.3,1990,348,153.05,154.1
1967,38,23.6,17.3,2000,348,261.94,253.4
1968,38,24.8,18.2,2010,348,297.81,208.3
1969,38,24.6,18,1960,349,23.28,17
1970,38,24.3,17.8,1970,349,27,19.8
1971,38,24,17.6,1980,349,49.13,36
1972,38,23.7,17.4,1990,349,153.05,154.1
1973,38,23.4,17.2,2000,349,261.94,253.4
1974,38,25,18.3,2010,349,297.81,208.3
1975,38,26.6,19.5,1960,350,23.28,17
1976,38,28.2,20.7,1970,350,27,19.8
1977,38,29.8,21.8,1980,350,49.13,36
1978,38,31.4,23,1990,350,153.05,154.1
1979,38,34.1,25,2000,350,261.94,253.4
1980,38,36.9,27,2010,350,297.81,208.3
1981,38,39.6,29,1960,351,23.28,17
1982,38,42.3,31,1970,351,27,19.8
1983,38,45,33,1980,351,49.13,36
1984,38,47.8,35,1990,351,153.05,154.1
1985,38,50.5,37,2000,351,261.94,253.4
1986,38,53.2,39,2010,351,297.81,208.3
1987,38,55.9,41,1960,352,23.28,17
1988,38,58.7,43,1970,352,27,19.8
1989,38,61.4,45,1980,352,49.13,36
1990,38,77.3,56.6,1990,352,153.05,154.1
1991,38,93.1,68.2,2000,352,261.94,253.4
1992,38,109,79.8,2010,352,297.81,208.3
1993,38,108.6,99.6,1960,353,23.28,17
1994,38,87.4,116.6,1970,353,27,19.8
1995,38,117.6,131,1980,353,49.13,36
1996,38,150.6,177,1990,353,153.05,154.1
1997,38,223.4,234.1,2000,353,261.94,253.4
1998,38,297.4,293.4,2010,353,297.81,208.3
1999,38,266.1,284.4,1960,354,23.28,17
2000,38,365.7,386.1,1970,354,27,19.8
2001,38,210.6,322.6,1980,354,49.13,36
2002,38,186.8,235,1990,354,153.05,154.1
2003,38,228.8,227,2000,354,261.94,253.4
2004,38,265.7,235,2010,354,297.81,208.3
2005,38,318.4,244.5,1960,355,23.28,17
2006,38,328.2,244.1,1970,355,27,19.8
2007,38,330.9,242,1980,355,49.13,36
2008,38,206.7,219.4,1990,355,153.05,154.1
2009,38,177.6,178.3,2000,355,261.94,253.4
2010,38,213.1,202.8,2010,355,297.81,208.3
2011,38,242.4,208.1,1960,356,23.28,17
2012,38,371.7,201.3,1970,356,27,19.8
2013,38,318.5,209.7,1980,356,49.13,36
2014,38,326.6,217.2,1990,356,153.05,154.1
2015,38,318.8,209.5,2000,356,261.94,253.4
2016,38,271.6,205.8,2010,356,297.81,208.3
2017,38,302.1,193.2,1960,357,23.28,17
2018,38,293.3,212.3,1970,357,27,19.8
2019,38,320,222.8,1980,357,49.13,36
1965,39,21.1,15.4,1990,357,153.05,154.1
1966,39,22.3,16.3,2000,357,261.94,253.4
1967,39,23.6,17.3,2010,357,297.81,208.3
1968,39,24.8,18.2,1960,358,23.28,17
1969,39,24.6,18,1970,358,27,19.8
1970,39,24.3,17.8,1980,358,49.13,36
1971,39,24,17.6,1990,358,153.05,154.1
1972,39,23.7,17.4,2000,358,261.94,253.4
1973,39,23.4,17.2,2010,358,297.81,208.3
1974,39,25,18.3,1960,359,23.28,17
1975,39,26.6,19.5,1970,359,27,19.8
1976,39,28.2,20.7,1980,359,49.13,36
1977,39,29.8,21.8,1990,359,153.05,154.1
1978,39,31.4,23,2000,359,261.94,253.4
1979,39,34.1,25,2010,359,297.81,208.3
1980,39,36.9,27,1960,360,23.28,17
1981,39,39.6,29,1970,360,27,19.8
1982,39,42.3,31,1980,360,49.13,36
1983,39,45,33,1990,360,153.05,154.1
1984,39,47.8,35,2000,360,261.94,253.4
1985,39,50.5,37,2010,360,297.81,208.3
1986,39,53.2,39,1960,361,23.28,17
1987,39,55.9,41,1970,361,27,19.8
1988,39,58.7,43,1980,361,49.13,36
1989,39,61.4,45,1990,361,153.05,154.1
1990,39,77.3,56.6,2000,361,261.94,253.4
1991,39,93.1,68.2,2010,361,297.81,208.3
1992,39,109,79.8,1960,362,23.28,17
1993,39,108.6,99.6,1970,362,27,19.8
1994,39,87.4,116.6,1980,362,49.13,36
1995,39,117.6,131,1990,362,153.05,154.1
1996,39,150.6,177,2000,362,261.94,253.4
1997,39,223.4,234.1,2010,362,297.81,208.3
1998,39,297.4,293.4,1960,363,23.28,17
1999,39,266.1,284.4,1970,363,27,19.8
2000,39,365.7,386.1,1980,363,49.13,36
2001,39,210.6,322.6,1990,363,153.05,154.1
2002,39,186.8,235,2000,363,261.94,253.4
2003,39,228.8,227,2010,363,297.81,208.3
2004,39,265.7,235,1960,364,23.28,17
2005,39,318.4,244.5,1970,364,27,19.8
2006,39,328.2,244.1,1980,364,49.13,36
2007,39,330.9,242,1990,364,153.05,154.1
2008,39,206.7,219.4,2000,364,261.94,253.4
2009,39,177.6,178.3,2010,364,297.81,208.3
2010,39,213.1,202.8,1960,365,23.28,17
2011,39,242.4,208.1,1970,365,27,19.8
2012,39,371.7,201.3,1980,365,49.13,36
2013,39,318.5,209.7,1990,365,153.05,154.1
2014,39,326.6,217.2,2000,365,261.94,253.4
2015,39,318.8,209.5,2010,365,297.81,208.3
2016,39,271.6,205.8,1960,366,23.28,17
2017,39,302.1,193.2,1970,366,27,19.8
2018,39,293.3,212.3,1980,366,49.13,36
2019,39,320,222.8,1990,366,153.05,154.1
1965,40,21.1,15.4,2000,366,261.94,253.4
1966,40,22.3,16.3,2010,366,297.81,208.3
1967,40,23.6,17.3,1960,367,23.28,17
1968,40,24.8,18.2,1970,367,27,19.8
1969,40,24.6,18,1980,367,49.13,36
1970,40,24.3,17.8,1990,367,153.05,154.1
1971,40,24,17.6,2000,367,261.94,253.4
1972,40,23.7,17.4,2010,367,297.81,208.3
1973,40,23.4,17.2,1960,368,23.28,17
1974,40,25,18.3,1970,368,27,19.8
1975,40,26.6,19.5,1980,368,49.13,36
1976,40,28.2,20.7,1990,368,153.05,154.1
1977,40,29.8,21.8,2000,368,261.94,253.4
1978,40,31.4,23,2010,368,297.81,208.3
1979,40,34.1,25,1960,369,23.28,17
1980,40,36.9,27,1970,369,27,19.8
1981,40,39.6,29,1980,369,49.13,36
1982,40,42.3,31,1990,369,153.05,154.1
1983,40,45,33,2000,369,261.94,253.4
1984,40,47.8,35,2010,369,297.81,208.3
1985,40,50.5,37,1960,370,23.28,17
1986,40,53.2,39,1970,370,27,19.8
1987,40,55.9,41,1980,370,49.13,36
1988,40,58.7,43,1990,370,153.05,154.1
1989,40,61.4,45,2000,370,261.94,253.4
1990,40,77.3,56.6,2010,370,297.81,208.3
1991,40,93.1,68.2,1960,371,23.28,17
1992,40,109,79.8,1970,371,27,19.8
1993,40,108.6,99.6,1980,371,49.13,36
1994,40,87.4,116.6,1990,371,153.05,154.1
1995,40,117.6,131,2000,371,261.94,253.4
1996,40,150.6,177,2010,371,297.81,208.3
1997,40,223.4,234.1,1960,372,23.28,17
1998,40,297.4,293.4,1970,372,27,19.8
1999,40,266.1,284.4,1980,372,49.13,36
2000,40,365.7,386.1,1990,372,153.05,154.1
2001,40,210.6,322.6,2000,372,261.94,253.4
2002,40,186.8,235,2010,372,297.81,208.3
2003,40,228.8,227,1960,373,23.28,17
2004,40,265.7,235,1970,373,27,19.8
2005,40,318.4,244.5,1980,373,49.13,36
2006,40,328.2,244.1,1990,373,153.05,154.1
2007,40,330.9,242,2000,373,261.94,253.4
2008,40,206.7,219.4,2010,373,297.81,208.3
2009,40,177.6,178.3,1960,374,23.28,17
2010,40,213.1,202.8,1970,374,27,19.8
2011,40,242.4,208.1,1980,374,49.13,36
2012,40,371.7,201.3,1990,374,153.05,154.1
2013,40,318.5,209.7,2000,374,261.94,253.4
2014,40,326.6,217.2,2010,374,297.81,208.3
2015,40,318.8,209.5,1960,375,23.28,17
2016,40,271.6,205.8,1970,375,27,19.8
2017,40,302.1,193.2,1980,375,49.13,36
2018,40,293.3,212.3,1990,375,153.05,154.1
2019,40,320,222.8,2000,375,261.94,253.4
1965,41,21.1,15.4,2010,375,297.81,208.3
1966,41,22.3,16.3,1960,376,23.28,17
1967,41,23.6,17.3,1970,376,27,19.8
1968,41,24.8,18.2,1980,376,49.13,36
1969,41,24.6,18,1990,376,153.05,154.1
1970,41,24.3,17.8,2000,376,261.94,253.4
1971,41,24,17.6,2010,376,297.81,208.3
1972,41,23.7,17.4,1960,377,23.28,17
1973,41,23.4,17.2,1970,377,27,19.8
1974,41,25,18.3,1980,377,49.13,36
1975,41,26.6,19.5,1990,377,153.05,154.1
1976,41,28.2,20.7,2000,377,261.94,253.4
1977,41,29.8,21.8,2010,377,297.81,208.3
1978,41,31.4,23,1960,378,23.28,17
1979,41,34.1,25,1970,378,27,19.8
1980,41,36.9,27,1980,378,49.13,36
1981,41,39.6,29,1990,378,153.05,154.1
1982,41,42.3,31,2000,378,261.94,253.4
1983,41,45,33,2010,378,297.81,208.3
1984,41,47.8,35,1960,379,23.28,17
1985,41,50.5,37,1970,379,27,19.8
1986,41,53.2,39,1980,379,49.13,36
1987,41,55.9,41,1990,379,153.05,154.1
1988,41,58.7,43,2000,379,261.94,253.4
1989,41,61.4,45,2010,379,297.81,208.3
1990,41,77.3,56.6,1960,380,23.28,17
1991,41,93.1,68.2,1970,380,27,19.8
1992,41,109,79.8,1980,380,49.13,36
1993,41,108.6,99.6,1990,380,153.05,154.1
1994,41,87.4,116.6,2000,380,261.94,253.4
1995,41,117.6,131,2010,380,297.81,208.3
1996,41,150.6,177,1960,381,23.28,17
1997,41,223.4,234.1,1970,381,27,19.8
1998,41,297.4,293.4,1980,381,49.13,36
1999,41,266.1,284.4,1990,381,153.05,154.1
2000,41,365.7,386.1,2000,381,261.94,253.4
2001,41,210.6,322.6,2010,381,297.81,208.3
2002,41,186.8,235,1960,382,23.28,17
2003,41,228.8,227,1970,382,27,19.8
2004,41,265.7,235,1980,382,49.13,36
2005,41,318.4,244.5,1990,382,153.05,154.1
2006,41,328.2,244.1,2000,382,261.94,253.4
2007,41,330.9,242,2010,382,297.81,208.3
2008,41,206.7,219.4,1960,383,23.28,17
2009,41,177.6,178.3,1970,383,27,19.8
2010,41,213.1,202.8,1980,383,49.13,36
2011,41,242.4,208.1,1990,383,153.05,154.1
2012,41,371.7,201.3,2000,383,261.94,253.4
2013,41,318.5,209.7,2010,383,297.81,208.3
2014,41,326.6,217.2,1960,384,23.28,17
2015,41,318.8,209.5,1970,384,27,19.8
2016,41,271.6,205.8,1980,384,49.13,36
2017,41,302.1,193.2,1990,384,153.05,154.1
2018,41,293.3,212.3,2000,384,261.94,253.4
2019,41,320,222.8,2010,384,297.81,208.3
1965,42,21.1,15.4,1960,385,23.28,17
1966,42,22.3,16.3,1970,385,27,19.8
1967,42,23.6,17.3,1980,385,49.13,36
1968,42,24.8,18.2,1990,385,153.05,154.1
1969,42,24.6,18,2000,385,261.94,253.4
1970,42,24.3,17.8,2010,385,297.81,208.3
1971,42,24,17.6,1960,386,23.28,17
1972,42,23.7,17.4,1970,386,27,19.8
1973,42,23.4,17.2,1980,386,49.13,36
1974,42,25,18.3,1990,386,153.05,154.1
1975,42,26.6,19.5,2000,386,261.94,253.4
1976,42,28.2,20.7,2010,386,297.81,208.3
1977,42,29.8,21.8,1960,387,23.28,17
1978,42,31.4,23,1970,387,27,19.8
1979,42,34.1,25,1980,387,49.13,36
1980,42,36.9,27,1990,387,153.05,154.1
1981,42,39.6,29,2000,387,261.94,253.4
1982,42,42.3,31,2010,387,297.81,208.3
1983,42,45,33,1960,388,23.28,17
1984,42,47.8,35,1970,388,27,19.8
1985,42,50.5,37,1980,388,49.13,36
1986,42,53.2,39,1990,388,153.05,154.1
1987,42,55.9,41,2000,388,261.94,253.4
1988,42,58.7,43,2010,388,297.81,208.3
1989,42,61.4,45,1960,389,23.28,17
1990,42,77.3,56.6,1970,389,27,19.8
1991,42,93.1,68.2,1980,389,49.13,36
1992,42,109,79.8,1990,389,153.05,154.1
1993,42,108.6,99.6,2000,389,261.94,253.4
1994,42,87.4,116.6,2010,389,297.81,208.3
1995,42,117.6,131,1960,390,23.28,17
1996,42,150.6,177,1970,390,27,19.8
1997,42,223.4,234.1,1980,390,49.13,36
1998,42,297.4,293.4,1990,390,153.05,154.1
1999,42,266.1,284.4,2000,390,261.94,253.4
2000,42,365.7,386.1,2010,390,297.81,208.3
2001,42,210.6,322.6,,,,
2002,42,186.8,235,,,,
2003,42,228.8,227,,,,
2004,42,265.7,235,,,,
2005,42,318.4,244.5,,,,
2006,42,328.2,244.1,,,,
2007,42,330.9,242,,,,
2008,42,206.7,219.4,,,,
2009,42,177.6,178.3,,,,
2010,42,213.1,202.8,,,,
2011,42,242.4,208.1,,,,
2012,42,371.7,201.3,,,,
2013,42,318.5,209.7,,,,
2014,42,326.6,217.2,,,,
2015,42,318.8,209.5,,,,
2016,42,271.6,205.8,,,,
2017,42,302.1,193.2,,,,
2018,42,293.3,212.3,,,,
2019,42,320,222.8,,,,
1965,43,21.1,15.4,,,,
1966,43,22.3,16.3,,,,
1967,43,23.6,17.3,,,,
1968,43,24.8,18.2,,,,
1969,43,24.6,18,,,,
1970,43,24.3,17.8,,,,
1971,43,24,17.6,,,,
1972,43,23.7,17.4,,,,
1973,43,23.4,17.2,,,,
1974,43,25,18.3,,,,
1975,43,26.6,19.5,,,,
1976,43,28.2,20.7,,,,
1977,43,29.8,21.8,,,,
1978,43,31.4,23,,,,
1979,43,34.1,25,,,,
1980,43,36.9,27,,,,
1981,43,39.6,29,,,,
1982,43,42.3,31,,,,
1983,43,45,33,,,,
1984,43,47.8,35,,,,
1985,43,50.5,37,,,,
1986,43,53.2,39,,,,
1987,43,55.9,41,,,,
1988,43,58.7,43,,,,
1989,43,61.4,45,,,,
1990,43,77.3,56.6,,,,
1991,43,93.1,68.2,,,,
1992,43,109,79.8,,,,
1993,43,108.6,99.6,,,,
1994,43,87.4,116.6,,,,
1995,43,117.6,131,,,,
1996,43,150.6,177,,,,
1997,43,223.4,234.1,,,,
1998,43,297.4,293.4,,,,
1999,43,266.1,284.4,,,,
2000,43,365.7,386.1,,,,
2001,43,210.6,322.6,,,,
2002,43,186.8,235,,,,
2003,43,228.8,227,,,,
2004,43,265.7,235,,,,
2005,43,318.4,244.5,,,,
2006,43,328.2,244.1,,,,
2007,43,330.9,242,,,,
2008,43,206.7,219.4,,,,
2009,43,177.6,178.3,,,,
2010,43,213.1,202.8,,,,
2011,43,242.4,208.1,,,,
2012,43,371.7,201.3,,,,
2013,43,318.5,209.7,,,,
2014,43,326.6,217.2,,,,
2015,43,318.8,209.5,,,,
2016,43,271.6,205.8,,,,
2017,43,302.1,193.2,,,,
2018,43,293.3,212.3,,,,
2019,43,320,222.8,,,,
1965,44,21.1,15.4,,,,
1966,44,22.3,16.3,,,,
1967,44,23.6,17.3,,,,
1968,44,24.8,18.2,,,,
1969,44,24.6,18,,,,
1970,44,24.3,17.8,,,,
1971,44,24,17.6,,,,
1972,44,23.7,17.4,,,,
1973,44,23.4,17.2,,,,
1974,44,25,18.3,,,,
1975,44,26.6,19.5,,,,
1976,44,28.2,20.7,,,,
1977,44,29.8,21.8,,,,
1978,44,31.4,23,,,,
1979,44,34.1,25,,,,
1980,44,36.9,27,,,,
1981,44,39.6,29,,,,
1982,44,42.3,31,,,,
1983,44,45,33,,,,
1984,44,47.8,35,,,,
1985,44,50.5,37,,,,
1986,44,53.2,39,,,,
1987,44,55.9,41,,,,
1988,44,58.7,43,,,,
